K,M,KM,n_valid,rel_gap_median,rel_gap_p90,rel_gap_max
2,3,6,60,0.007110484229046615,0.034601904197700296,0.05518772202605931
3,3,9,60,0.014642160749748896,0.040653323663947125,0.08648156065131586
5,3,15,60,0.025261117902935757,0.05448285545592153,0.08626922956161455
