lambda,n,r1_naive_median,r1_joint_median,r1_abs_gap_median,r1_rel_gap_median_pct
0.1,58,0.3049967825382939,0.30481319512422256,0.00005553630303176127,0.01820881603063744
1.0,58,0.3049967825382939,0.3031609083975803,0.0005553630303179458,0.18208816030648362
5.0,58,0.3049967825382939,0.29958106458093975,0.0027768151515895623,0.9104408015323634
10.0,58,0.3049967825382939,0.2971115724175133,0.005553630303179069,1.8208816030647088
50.0,58,0.3049967825382939,0.2883935144956429,0.022652135295895406,7.427007953125314
100.0,58,0.3049967825382939,0.2842558911773245,0.03099777965313505,10.163313657003291
200.0,58,0.3049967825382939,0.2670077833051169,0.031970584716266306,10.48226950140113
